site_name,site_abbreviation,building_name,building_abbreviation,building_number,address,floors,gross_square_feet,occupied_since,building_image_urls
Main Campus,UTM,F.L. WINSHIP DRAMA BLDG.,WIN,0201,"300 E 23RD ST, AUSTIN, TX 78712",4,108239.0,1961,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WIN/100474701_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WIN/100474700_400.jpg
Main Campus,UTM,WEST MALL OFFICE BLDG.,WMB,0652,"306 INNER CAMPUS DR, AUSTIN, TX 78712",7,46290.0,1962,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WMB/100473494_400.jpg
Main Campus,UTM,WALTER WEBB HALL,WWH,0040,"405 W 25TH ST, AUSTIN, TX 78705",4,38173.0,1973,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WWH/100474666_400.jpg
Main Campus,UTM,2007 GUADALUPE,Z02,9012,"2007 GUADALUPE ST, AUSTIN, TX 78712",1,2576.0,2018,nan
Pickle Research Campus,PRC,ARL ENGR. SUPPORT FAC.PRC 167),A01,0194,"2900 READ GRANBERRY TRL, AUSTIN, TX 78758",2,30576.0,1991,nan
Pickle Research Campus,PRC,ARL ENVIRONMENTAL FACILITY PRC125),A02,0972,"2808 READ GRANBERRY TRL, AUSTIN, TX 78758",2,12445.0,1978,nan
Pickle Research Campus,PRC,ARL CARPENTER SHOP PRC 128),A03,0829,"2914 READ GRANBERRY TRL, AUSTIN, TX 78758",2,7663.0,1984,nan
Pickle Research Campus,PRC,ARL SECURITY GUARDS PRC 100),A04,0969,"2744 READ GRANBERRY TRL, AUSTIN, TX 78758",1,124.0,1949,nan
Pickle Research Campus,PRC,ARL WAREHOUSE PRC 34),A06,0869,"2922 READ GRANBERRY TRL, AUSTIN, TX 78758",1,4111.0,1967,nan
Pickle Research Campus,PRC,ARL STORAGE FACILITY PRC 144),A08,0917,"2918 READ GRANBERRY TRL, AUSTIN, TX 78758",1,451.0,1975,nan
Pickle Research Campus,PRC,ARL PAINT STORAGE PRC 93),A09,0909,"2920 READ GRANBERRY TRL, AUSTIN, TX 78758",1,265.0,1963,nan
Pickle Research Campus,PRC,ARL STORAGE FACILITY PRC 94),A10,0910,"2916 READ GRANBERRY TRL, AUSTIN, TX 78758",1,257.0,1966,nan
Pickle Research Campus,PRC,ARL STORAGE PRC 181),A11,0825,"2902 READ GRANBERRY TRL, AUSTIN, TX 78758",1,36312.0,1994,nan
Pickle Research Campus,PRC,ARL ACOUSTIC RES. TRAILER PRC 182),A12,0826,"2804 READ GRANBERRY TRL, AUSTIN, TX 78758",1,460.0,1994,nan
Pickle Research Campus,PRC,ARL SPECIAL PROJECTS BLDG.PRC 187),A15,0196,"2906 READ GRANBERRY TRL, AUSTIN, TX 78758",1,1818.0,1996,nan
